,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,ContinentName,cluster_final
163,M,M,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
164,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
165,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
166,S,F,70000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
167,S,F,80000.0,0.0,0.0,Bachelors,Management,North America,0.0
168,S,M,80000.0,0.0,0.0,Bachelors,Management,North America,0.0
169,M,M,90000.0,4.0,4.0,Bachelors,Management,North America,0.0
170,M,F,90000.0,4.0,4.0,Bachelors,Management,North America,0.0
171,S,M,100000.0,1.0,0.0,Bachelors,Management,North America,0.0
172,M,F,100000.0,1.0,0.0,Bachelors,Management,North America,0.0
173,S,F,110000.0,0.0,0.0,Graduate Degree,Management,North America,0.0
174,M,M,110000.0,0.0,1.0,Graduate Degree,Management,North America,0.0
175,S,M,70000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
176,M,M,90000.0,4.0,4.0,Bachelors,Management,North America,0.0
177,M,M,110000.0,2.0,4.0,Graduate Degree,Management,North America,0.0
178,M,M,100000.0,2.0,3.0,Graduate Degree,Management,North America,0.0
179,M,F,120000.0,2.0,4.0,Graduate Degree,Management,North America,0.0
180,M,F,160000.0,1.0,3.0,Bachelors,Management,North America,0.0
181,M,M,170000.0,2.0,3.0,Graduate Degree,Management,North America,0.0
182,S,F,70000.0,4.0,0.0,Bachelors,Management,North America,2.0
183,S,F,70000.0,4.0,0.0,Bachelors,Management,North America,2.0
184,S,F,70000.0,4.0,0.0,Bachelors,Management,North America,2.0
185,S,F,70000.0,4.0,0.0,Bachelors,Management,North America,2.0
186,S,F,70000.0,4.0,0.0,Bachelors,Management,North America,2.0
187,M,F,60000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
188,M,F,60000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
189,S,M,60000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
190,M,M,70000.0,5.0,0.0,Bachelors,Management,North America,3.0
191,S,F,70000.0,5.0,0.0,Bachelors,Management,North America,3.0
192,M,M,60000.0,4.0,0.0,Bachelors,Management,North America,2.0
193,M,M,60000.0,4.0,0.0,Bachelors,Management,North America,2.0
194,M,F,60000.0,4.0,0.0,Bachelors,Management,North America,2.0
195,M,F,60000.0,5.0,0.0,Bachelors,Management,North America,3.0
196,M,M,60000.0,5.0,0.0,Bachelors,Management,North America,3.0
197,M,F,70000.0,3.0,1.0,Bachelors,Management,North America,0.0
198,S,F,70000.0,4.0,1.0,Bachelors,Management,North America,0.0
199,M,F,70000.0,4.0,1.0,Bachelors,Management,North America,0.0
200,M,M,70000.0,4.0,1.0,Bachelors,Management,North America,0.0
201,M,F,70000.0,4.0,1.0,Bachelors,Management,North America,0.0
202,M,F,80000.0,5.0,0.0,Bachelors,Management,North America,3.0
203,M,M,40000.0,2.0,1.0,High School,Professional,North America,0.0
204,M,F,40000.0,2.0,1.0,High School,Professional,North America,0.0
205,M,F,40000.0,2.0,1.0,High School,Professional,North America,0.0
206,M,M,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
207,S,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
208,M,F,60000.0,2.0,1.0,Bachelors,Management,North America,0.0
209,M,F,60000.0,2.0,1.0,Bachelors,Management,North America,0.0
210,M,M,70000.0,4.0,1.0,Partial College,Professional,North America,0.0
211,M,F,40000.0,2.0,1.0,High School,Professional,North America,0.0
212,M,F,40000.0,2.0,1.0,High School,Professional,North America,0.0
213,S,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
214,S,M,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
215,M,F,40000.0,2.0,1.0,Partial High School,Skilled Manual,North America,0.0
216,S,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
217,S,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
218,S,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
219,M,M,60000.0,2.0,1.0,High School,Professional,North America,0.0
220,M,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
221,M,M,70000.0,4.0,2.0,Partial College,Professional,North America,0.0
222,M,F,80000.0,3.0,1.0,Bachelors,Management,North America,0.0
223,S,F,70000.0,2.0,1.0,High School,Professional,North America,0.0
224,S,F,70000.0,2.0,1.0,High School,Professional,North America,0.0
225,M,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
226,M,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
227,S,M,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
228,M,F,60000.0,2.0,1.0,Partial College,Professional,North America,0.0
229,S,M,70000.0,4.0,2.0,Partial College,Professional,North America,0.0
230,M,F,70000.0,4.0,2.0,Partial College,Professional,North America,0.0
231,M,M,60000.0,2.0,1.0,High School,Professional,North America,0.0
232,M,F,60000.0,3.0,1.0,High School,Professional,North America,0.0
233,M,M,70000.0,4.0,2.0,Partial College,Professional,North America,0.0
234,S,F,70000.0,4.0,2.0,Partial College,Professional,North America,0.0
235,M,M,70000.0,4.0,2.0,Partial College,Professional,North America,0.0
236,S,M,70000.0,5.0,2.0,Partial College,Professional,North America,0.0
237,S,M,130000.0,2.0,3.0,Bachelors,Management,Europe,0.0
238,S,F,130000.0,2.0,3.0,Bachelors,Management,Europe,0.0
239,M,F,130000.0,2.0,4.0,Partial College,Professional,Europe,0.0
240,M,F,160000.0,2.0,3.0,Partial College,Professional,Europe,0.0
241,S,F,100000.0,2.0,3.0,Partial College,Professional,Europe,0.0
242,M,M,110000.0,2.0,4.0,Partial College,Professional,Europe,0.0
243,M,F,150000.0,2.0,3.0,Partial College,Professional,Europe,0.0
244,S,F,170000.0,2.0,3.0,Bachelors,Management,Europe,0.0
245,M,M,120000.0,3.0,4.0,High School,Professional,Europe,0.0
246,M,F,120000.0,3.0,4.0,High School,Professional,Europe,0.0
247,S,F,130000.0,3.0,4.0,Partial College,Professional,Europe,0.0
248,M,M,110000.0,3.0,4.0,Partial College,Professional,Europe,0.0
249,M,F,130000.0,3.0,4.0,Partial College,Professional,Europe,0.0
250,M,F,170000.0,3.0,4.0,High School,Professional,Europe,0.0
251,S,M,30000.0,4.0,0.0,High School,Professional,North America,0.0
252,S,M,90000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
253,M,M,60000.0,2.0,0.0,Graduate Degree,Management,North America,2.0
254,M,M,70000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
255,M,M,70000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
256,M,F,70000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
257,S,F,120000.0,1.0,2.0,Graduate Degree,Management,North America,0.0
258,M,M,120000.0,1.0,2.0,Graduate Degree,Management,North America,0.0
259,M,F,100000.0,4.0,1.0,Partial College,Professional,North America,0.0
260,M,F,110000.0,2.0,2.0,Bachelors,Management,North America,0.0
261,M,F,130000.0,1.0,2.0,Graduate Degree,Management,North America,0.0
262,M,F,80000.0,4.0,3.0,Bachelors,Management,North America,0.0
263,M,F,90000.0,5.0,5.0,Partial College,Professional,North America,4.0
264,S,M,90000.0,5.0,5.0,Partial College,Professional,North America,4.0
265,M,F,90000.0,5.0,5.0,Partial College,Professional,North America,4.0
266,S,F,90000.0,0.0,0.0,Partial College,Professional,North America,0.0
267,S,M,120000.0,4.0,2.0,Partial College,Professional,North America,0.0
268,M,F,130000.0,2.0,2.0,Graduate Degree,Management,North America,0.0
269,M,M,130000.0,2.0,2.0,Graduate Degree,Management,North America,0.0
270,M,M,130000.0,2.0,2.0,Graduate Degree,Management,North America,0.0
271,S,F,150000.0,2.0,0.0,Bachelors,Management,North America,0.0
272,S,F,70000.0,4.0,3.0,Partial College,Professional,North America,0.0
273,M,M,90000.0,2.0,1.0,Partial College,Professional,North America,0.0
274,M,M,50000.0,2.0,0.0,Graduate Degree,Management,North America,2.0
275,M,F,80000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
276,M,F,80000.0,4.0,3.0,Partial College,Professional,North America,0.0
277,M,M,80000.0,4.0,3.0,Partial College,Professional,North America,0.0
278,S,M,90000.0,0.0,0.0,Partial College,Professional,North America,0.0
279,M,F,90000.0,0.0,0.0,Partial College,Professional,North America,0.0
280,M,M,90000.0,0.0,0.0,Partial College,Professional,North America,0.0
281,S,F,110000.0,4.0,2.0,Bachelors,Management,North America,0.0
282,M,M,90000.0,5.0,4.0,Partial College,Professional,North America,4.0
283,M,M,110000.0,1.0,3.0,Bachelors,Management,North America,0.0
284,M,F,110000.0,1.0,3.0,Bachelors,Management,North America,0.0
285,M,M,120000.0,1.0,3.0,Partial College,Professional,North America,0.0
286,M,M,170000.0,0.0,0.0,Graduate Degree,Management,North America,0.0
287,M,M,70000.0,5.0,4.0,Partial College,Professional,North America,4.0
288,M,F,110000.0,1.0,3.0,Bachelors,Management,North America,0.0
289,M,F,130000.0,1.0,3.0,Bachelors,Management,North America,0.0
290,M,F,130000.0,1.0,3.0,Bachelors,Management,North America,0.0
291,M,F,130000.0,1.0,3.0,Bachelors,Management,North America,0.0
292,S,M,150000.0,1.0,2.0,Partial College,Professional,North America,0.0
293,S,M,60000.0,2.0,0.0,High School,Professional,North America,0.0
294,M,M,60000.0,2.0,0.0,High School,Professional,North America,0.0
295,S,F,80000.0,2.0,0.0,Partial High School,Skilled Manual,North America,0.0
296,S,F,50000.0,2.0,0.0,Graduate Degree,Management,North America,2.0
297,S,M,70000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
298,M,M,70000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
299,M,M,70000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
300,M,M,80000.0,5.0,4.0,Partial College,Professional,North America,4.0
301,M,M,80000.0,5.0,4.0,Partial College,Professional,North America,4.0
302,S,M,90000.0,4.0,3.0,High School,Professional,North America,0.0
303,S,F,90000.0,4.0,3.0,High School,Professional,North America,0.0
304,M,F,100000.0,0.0,3.0,Partial College,Professional,North America,0.0
305,M,M,110000.0,3.0,3.0,Partial College,Professional,North America,0.0
306,M,M,110000.0,3.0,3.0,Partial College,Professional,North America,0.0
307,M,M,80000.0,2.0,0.0,Partial High School,Skilled Manual,North America,0.0
308,M,M,60000.0,2.0,0.0,High School,Professional,North America,0.0
309,S,F,60000.0,2.0,0.0,High School,Professional,North America,0.0
310,S,F,70000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
311,S,F,70000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
312,S,F,70000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
313,S,M,70000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
314,S,F,70000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
315,S,F,70000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
316,M,M,60000.0,3.0,0.0,Graduate Degree,Management,North America,2.0
317,S,F,40000.0,3.0,0.0,Partial College,Professional,North America,0.0
318,S,F,40000.0,3.0,0.0,Partial College,Professional,North America,0.0
319,M,F,70000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
320,M,F,80000.0,4.0,0.0,Graduate Degree,Management,North America,2.0
321,M,M,90000.0,5.0,0.0,Bachelors,Management,North America,3.0
322,M,F,90000.0,5.0,0.0,Bachelors,Management,North America,3.0
323,S,M,120000.0,2.0,4.0,Graduate Degree,Management,North America,0.0
324,M,M,90000.0,5.0,0.0,Bachelors,Management,North America,3.0
325,S,M,90000.0,5.0,0.0,Bachelors,Management,North America,3.0
326,M,M,130000.0,2.0,3.0,Bachelors,Management,North America,0.0
327,M,M,90000.0,5.0,0.0,Bachelors,Management,North America,3.0
328,M,M,90000.0,5.0,0.0,Bachelors,Management,North America,3.0
329,S,M,90000.0,5.0,0.0,Bachelors,Management,North America,3.0
330,M,M,110000.0,2.0,4.0,Graduate Degree,Management,North America,0.0
331,M,F,90000.0,4.0,4.0,Partial College,Skilled Manual,North America,0.0
332,S,F,10000.0,1.0,0.0,Graduate Degree,Manual,Europe,0.0
333,M,F,20000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
334,M,F,10000.0,1.0,0.0,Bachelors,Manual,Europe,0.0
335,M,F,10000.0,1.0,0.0,Bachelors,Manual,Europe,0.0
336,M,M,20000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
337,M,M,10000.0,1.0,0.0,Bachelors,Manual,Europe,0.0
338,M,M,20000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
339,S,M,20000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
340,M,F,10000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
341,M,M,20000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
342,M,M,30000.0,5.0,0.0,Graduate Degree,Clerical,Europe,5.0
343,M,M,10000.0,1.0,0.0,Bachelors,Manual,Europe,0.0
344,M,F,10000.0,1.0,0.0,Partial College,Manual,Europe,0.0
345,S,F,10000.0,1.0,0.0,Partial College,Manual,Europe,0.0
346,S,F,10000.0,2.0,0.0,Partial College,Manual,Europe,0.0
347,M,M,10000.0,2.0,0.0,Partial College,Manual,Europe,0.0
348,M,M,10000.0,2.0,0.0,Partial College,Manual,Europe,0.0
349,M,F,10000.0,2.0,0.0,Partial College,Manual,Europe,0.0
350,M,F,30000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
351,S,F,20000.0,1.0,0.0,Bachelors,Clerical,Europe,0.0
352,M,M,10000.0,2.0,0.0,Partial College,Manual,Europe,0.0
353,S,F,30000.0,1.0,0.0,Bachelors,Clerical,Europe,0.0
354,M,F,20000.0,1.0,0.0,Partial College,Manual,Europe,0.0
355,M,M,40000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
356,S,M,10000.0,0.0,0.0,Partial College,Manual,Asia,0.0
357,S,M,10000.0,0.0,0.0,Partial College,Manual,Asia,0.0
358,S,F,10000.0,0.0,0.0,Partial College,Manual,Asia,0.0
359,S,M,10000.0,0.0,0.0,Partial College,Manual,Asia,0.0
360,S,M,10000.0,0.0,0.0,Partial College,Manual,Asia,0.0
361,M,F,10000.0,0.0,0.0,High School,Manual,Asia,0.0
362,M,M,10000.0,0.0,0.0,High School,Manual,Asia,0.0
363,S,M,10000.0,0.0,0.0,High School,Manual,Asia,0.0
364,S,F,10000.0,1.0,1.0,High School,Manual,Asia,0.0
365,S,F,10000.0,1.0,1.0,High School,Manual,Asia,0.0
366,M,F,20000.0,0.0,0.0,Bachelors,Clerical,Asia,0.0
367,M,M,20000.0,0.0,0.0,Bachelors,Clerical,Asia,0.0
368,S,M,10000.0,1.0,1.0,High School,Manual,Asia,0.0
369,M,F,20000.0,0.0,0.0,Bachelors,Clerical,Asia,0.0
370,M,F,20000.0,0.0,0.0,Bachelors,Clerical,Asia,0.0
371,M,F,20000.0,0.0,0.0,Bachelors,Clerical,Asia,0.0
372,S,F,20000.0,0.0,0.0,Bachelors,Clerical,Asia,0.0
373,M,F,30000.0,1.0,0.0,Bachelors,Clerical,Europe,0.0
374,S,M,30000.0,1.0,0.0,Bachelors,Clerical,Europe,0.0
375,M,M,30000.0,1.0,0.0,Bachelors,Clerical,Europe,0.0
376,S,M,40000.0,1.0,0.0,Graduate Degree,Clerical,Europe,0.0
377,M,M,30000.0,4.0,0.0,Graduate Degree,Clerical,Europe,2.0
